id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
2347,Sinomicrobium soli,2662143,N-1-3-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sinomicrobium,,47.7,,KX977389,50.9,10,32.5,28,37,45,35
2348,Pseudonocardia lutea,2172015,NEAU-G57,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,73.3,,MF188864,59.7,10,32.5,28,37,45,35
2349,Georgenia deserti,2093781,SYSU D8004,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,,72.2,,MF347941,58,4,32.5,28,37,45,41
2350,Marinicrinis lubricantis,2086470,KSS164-79,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Marinicrinis,,62.8,,MG589643,55.5,25,32.5,28,37,45,20
2351,Achromobacter veterisilvae,2069367,LMG 30378,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,67.2,,LT976503,55,4,32.5,28,37,45,41
2352,Zobellella maritima,2059725,102-Py4,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Zobellella,,62.1,,MG456893,55.3,10,32.5,28,37,45,35
2353,Siccirubricoccus deserti,2013562,SYSU D8009,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Siccirubricoccus,,71.6,,KY882041,58.6,4,32.5,28,37,45,41
2354,Phytoactinopolyspora halotolerans,1981512,YIM 96448,Bacteria,Actinobacteria,Actinobacteria,Jiangellales,Jiangellaceae,Phytoactinopolyspora,,68.7,,KY979511,59,15,32.5,28,37,45,30
2355,Massilia agilis,1811226,J9,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,64.5,,KU870756,53.6,4,32.5,28,37,45,41
2356,Massilia solisilvae,1811225,J18,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,63.4,,KU870758,54,4,32.5,28,37,45,41
2357,Massilia terrae,1811224,J11,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,68.7,,KU870757,53.9,4,32.5,28,37,45,41
2358,Devosia elaeis,1770058,S37,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,63,,KT345712,54.7,10,32.5,28,37,45,35
2359,Pseudoalteromonas gelatinilytica,1703256,NH153,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,41.4,,KT377064,53.5,15,32.5,28,37,45,30
2360,Paracoccus angustae,1671480,E6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,68.1,,KR052005,56.6,4,32.5,28,37,45,41
2361,Skermanella rubra,1648232,YIM 93097,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,,67.2,,KP280066,59.6,20,32.5,28,37,45,25
2362,Paenibacillus nicotianae,1526551,YIM h-19,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,54,,KJ792471,54.5,4,32.5,28,37,45,41
2363,Streptomonospora algeriensis,995084,H27,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Streptomonospora,,,,HQ918204,61,20,32.5,28,37,45,25
2364,Streptomyces klenkii,1420899,S2704,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,72.2,,KF656772,59.1,28,32.5,28,37,45,17
2365,Micromonospora wenchangensis,1185415,2602GPT1-05,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,,71.7,,JQ768361,60,16,32.5,28,37,45,29
2366,Sinomicrobium oceani,1150368,SCSIO 03483,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sinomicrobium,,38.4,,JQ352762,49.2,10,32.5,28,37,45,35
2367,Lysinibacillus mangiferihumi,1130819,M-GX18,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,,38.9,,JF731238,53.8,10,32.5,28,37,45,35
2368,Rubrobacter bracarensis,1017354,VF70612 S1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,,65.2,,HE672086,57.8,10,32.5,28,37,45,35
2369,Streptomyces glycovorans,933940,YIM M 10366,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,74.5,,HQ585117,58.8,12,32.5,28,37,45,33
2370,Bacillus luteolus,682179,YIM 9317,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.9,,GQ925365,54,15,32.5,28,37,45,30
2371,Streptomyces nanhaiensis,679319,SCSIO 01248,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,71.9,,GQ871748,60,10,32.5,28,37,45,35
2372,Haloactinopolyspora alba,648780, YIM 93246,Bacteria,Actinobacteria,Actinobacteria,Jiangellales,Jiangellaceae,Haloactinopolyspora,,70.5,,FJ969846,59.6,15,32.5,28,37,45,30
2373,Oceanibaculum pacificum,580166,LMC2up-L3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,,67.7,,FJ463255,56.8,10,32.5,28,37,45,35
2374,Prauserella sediminis,577680,CCTCC AA 208054,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,69.1,,FJ444995,58.9,15,32.5,28,37,45,30
2375,Prauserella flava,577679,CCTCC AA 208052,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,69.9,,FJ444993,58.8,15,32.5,28,37,45,30
2376,Verrucosispora sediminis,547162, MS426,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,,66.8,,EU870859,60.1,20,32.5,28,37,45,25
2377,Zhihengliuella alba,547018,YIM 90734,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Zhihengliuella,,70.3,,EU847536,57.6,4,32.5,28,37,45,41
2378,Gracilibacillus saliphilus,543890,YIM 91119,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,40.1,,EU784646,54.8,4,32.5,28,37,45,41
2379,Prauserella marina,530584,CCTCC AA 208056,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,GCA_002240355.1,67.6,7,FJ444996,58.6,15,32.5,28,37,45,30
2380,Saccharopolyspora antimicrobica,455193,I05-00074,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,,69.1,,EF693956,58.8,20,32.5,28,37,45,25
2381,Wohlfahrtiimonas chitiniclastica,400946,S5,Bacteria,Proteobacteria,Gammaproteobacteria,,,Wohlfahrtiimonas,,44.3,,AM397063,51.7,4,32.5,28,37,45,41
2382,Saccharopolyspora halophila,405551,YIM 90500,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,,66.3,,DQ923129,58.9,10,32.5,28,37,45,35
2383,Prauserella aidingensis,387890,CCTCC AA 208053,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,70.1,,FJ444994,58.9,15,32.5,28,37,45,30
2384,Prauserella salsuginis,387889,CCTCC AA 208051,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Prauserella,,69.1,,FJ444992,58.9,15,32.5,28,37,45,30
2385,Ignatzschineria larvae,112009,L1/68,Bacteria,Proteobacteria,Gammaproteobacteria,,,Ignatzschineria,,42,,NR_025382,52.2,4,32.5,28,37,45,41
2386,Nocardiopsis trehalosi,109329,CIP 106425,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,,AF105972,59,18,32.5,28,37,45,27
2387,Actinomadura madurae,1993,ATCC 19425,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,67.1,,U58527,59.7,10,32.5,28,37,45,35
2388,Streptomyces roietensis,2044847,WES2,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,70.7,,KX394336,59.1,15,32,27,37,45,30
2389,Micromonospora terminaliae,1914461,TMS7,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,GCA_009671205.1,73.3,6.7,KX394339,60.3,15,32,27,37,45,30
2390,Methyloterricola oryzae,1495050,73a,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloterricola,,63.3,,KY129802,56.6,15,32,27,37,45,30
2391,Oceanibaculum nanhaiense,1909734,L54-1-50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,,65.1,,KX870046,56.4,10,31,25,37,45,35
2392,Noviherbaspirillum agri,1854499,K-1-15,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,,65.2,,KX129821,54.5,10,31,25,37,45,35
2393,Aeromicrobium massiliense,1464554, JC14,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,72.5,,JF824798,58.2,25,31,25,37,45,20
2394,Halomonas qiaohouensis,1329370,YIM QH88,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,64.6,,KC237714,56.2,10,31,25,37,45,35
2395,Thauera humireducens,1134435,SgZ-1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,GCA_001051995.2,66.4,4.2,JQ038037,56.4,10,31,25,37,45,35
2396,Pseudoalteromonas xishaensis,1131609,E418,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,46.7,,JQ237129,53.7,15,31,25,37,45,30
2397,Phreatobacter oligotrophus,1122261,PI_21,Bacteria,Proteobacteria,Alphaproteobacteria,,,Phreatobacter,,68.9,,HE616165,56.7,20,31,25,37,45,25
2398,Amycolatopsis endophytica,860233,KLBMP 1221,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,73.3,,HM153799,59,15,31,25,37,45,30
2399,Paenibacillus chitinolyticus,79263,EAG-3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_004117095.1,52.4,6.5,AB021183,55.7,18,31,25,37,45,27
2400,Enterobacter tabaci,1697388,YIM Hb-3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,,54.8,,KP990658,54.8,4,31,25,37,45,41
2401,Gellertiella hungarica,1572859,RAM11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Gellertiella,,62.9,,LN651200,54.9,15,28.5,20,37,45,30
2402,Rufibacter quisquiliarum,1549639,CAI-18b,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Rufibacter,,50.7,,KM083132,57.7,4,28.5,20,37,45,41
2403,Sphingomonas endophytica,869719,YIM 65583,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,63,,HM629444,55.6,12,28.5,20,37,45,33
2404,Plantactinospora endophytica,673535,YIM68255,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Plantactinospora,,73,,GQ494033,59.8,10,28.5,20,37,45,35
2405,Fictibacillus rigui,554308,WPCB074,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,,41.9,,EU939689,55.4,10,28.5,20,37,45,35
2406,Enterococcus xinjiangensis,1416928,48,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,44.5,,KF621060,53.3,10,28.5,20,37,45,35
2407,Moheibacter stercoris,1628251,784B1_12E-Caso,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Moheibacter,,34.5,,KP119861,51.4,10,30.5,25,36,45,35
2408,Haloprofundus marisrubri,1514971,SB9,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,,62.5,,KJ999759,56.9,15,34,33,35,45,30
2409,Acidibacter ferrireducens,1229656,MCF85,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,,,,JX412366,55.9,8,33.5,32,35,45,37
2410,Salinivibrio proteolyticus,334715,AF-2004,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,,49.5,,DQ092443,53.9,10,33.5,32,35,45,35
2411,Marispirochaeta aestuarii,1963862,JC444,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta,,53.6,,LT578350,55.3,15,32.5,30,35,45,30
2412,Amycolatopsis albispora,1804986,WP1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,GCA_003312875.1,70.7,9.1,KT751086,58.6,4,32.5,30,35,45,41
2413,Acinetobacter larvae,1789224, BRTC-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GCA_001704115.1,41.6,3.7,KU560468,52.9,10,32.5,30,35,45,35
2414,Comamonas sediminis,1783360,S3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,68.3,,LT009500,54.3,12,32.5,30,35,45,33
2415,Tritonibacter horizontis,1768241,O3.65,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tritonibacter,,61.5,,NZ_LPUY01000004,54.5,4,32.5,30,35,45,41
2416,Streptomyces palmae,1701085,CMU-AB204,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,70.9,,LC073309,59.1,15,32.5,30,35,45,30
2417,Jeotgalibacillus alkaliphilus,1671556,JC303,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,,43,,LN866628,55.1,25,32.5,30,35,45,20
2418,Paenibacillus salinicaeni,1565089,LAM0A28,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.2,,KM260652,56,15,32.5,30,35,45,30
2419,Aquisalimonas halophila,1303863,YIM 95345,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Aquisalimonas,,59.4,,KC577145,57,15,32.5,30,35,45,30
2420,Salinifilum ghardaiensis,1293032,H53,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Salinifilum,,72.6,,KC427277,60.2,25,32.5,30,35,45,20
2421,Altererythrobacter atlanticus,1267766,26DY36 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001008165.2,61.9,3.5,KC018454,54.8,10,32.5,30,35,45,35
2422,Aliidiomarina shirensis,1048642,AIS,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina,,45.8,,JF922381,52.5,1,32.5,30,35,45,44
2423,Ectothiorhodospira magna,867345,B7-7,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,,59.2,,HM149323,56,20,32.5,30,35,45,25
2424,Halomonas aidingensis,659123,Ad-1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,64.6,,GQ281062,56.4,4,32.5,30,35,45,41
2425,Bacillus zhanjiangensis,866780,JSM 099021,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,39.5,,HM460884,55,10,32.5,30,35,45,35
2426,Bacillus graminis,735518,YC6957,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,41.6,,GU322908,55.5,15,32.5,30,35,45,30
2427,Aquamicrobium aestuarii,698647,G210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aquamicrobium,,56.9,,GU199003,56.3,15,32.5,30,35,45,30
2428,Pseudoteredinibacter isoporae,570281,SW-11,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter,,51.6,,FJ347760,53.3,10,32.5,30,35,45,35
2429,Oceanobacillus sojae,582851,Y27,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,,38,,AB473561,54.5,15,32.5,30,35,45,30
2430,Ectothiorhodospira variabilis,505694,WN22,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodospira,,62.8,,AM943121,56,20,32.5,30,35,45,25
2431,Jeotgalicoccus nanhaiensis,568603,JSM 077023,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,,41.3,,FJ237390,53.8,4,32.5,30,35,45,41
2432,Salinicola zeshunii,459885,N4,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola,,69.1,,EU056581,56.1,10,32.5,30,35,45,35
2433,Halomonas andesensis,447567,LC6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,52.5,,EF622233,55.6,4,32.5,30,35,45,41
2434,Devosia geojensis,443610,BD-c194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,60.8,,EF575560,54.4,15,32.5,30,35,45,30
2435,Geminicoccus roseus,404900,D2-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,Geminicoccus,,60.3,,AM403172,58.7,15,32.5,30,35,45,30
2436,Zobellella denitrificans,347534,ZD1,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Zobellella,,64,,DQ195675,56.4,10,32.5,30,35,45,35
2437,Salinimonas chungwhensis,265425,BH030046,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Salinimonas,,48,,AY553295,54.5,10,32.5,30,35,45,35
2438,Chromohalobacter sarecensis,245294,LV4,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,,56.1,,AY373448,57.5,0,32.5,30,35,45,45
2439,Planomicrobium chinense,272917,DX3-12,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,,34.8,,AJ697862,56.4,10,32.5,30,35,45,35
2440,Brevibacillus limnophilus,267745, DSM 6472,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,51.9,,AB112717,55.8,20,32.5,30,35,45,25
2441,Pontibacillus chungwhensis,265426,BH030062,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pontibacillus,,41,,AY553296,54.4,15,32.5,30,35,45,30
2442,Telluria mixta,34071,ACM 1762,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Telluria,,69,,X65589,53.4,20,32.5,30,35,45,25
2443,Jeotgalibacillus alimentarius,135826,YKJ-13,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,,44,,AF281158,55.1,10,32.5,30,35,45,35
2444,Telluria chitinolytica,34070,ACM 3522,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Telluria,,72,,X65590,53,20,32.5,30,35,45,25
2445,Staphylococcus hyicus,1284,D. Sompolinsky no. 1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000816085.1,35.6,2.5,D83368,51.6,22,32.5,30,35,45,23
2446,Scopulibacillus cellulosilyticus,2665665,THG-NT9,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Scopulibacillus,,47.5,,MF919603,55.5,20,31.5,28,35,45,25
2447,Ktedonosporobacter rubrisoli,2509675,SCAWS-G2,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,,,GCA_004208415.1,51.8,11.3,KY427895,58.4,25,31.5,28,35,45,20
2448,Idiomarina andamanensis,1940690,W5,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,46.7,,KX601660,53.9,15,31.5,28,35,45,30
2449,Flexivirga endophytica,1849103,YIM 7505,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Flexivirga,,66.7,,KX151661,57,20,31.5,28,35,45,25
2450,Shinella curvata,1817964,C3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,,65.4,,LT545981,55,4,31.5,28,35,45,41
2451,Blastococcus xanthinilyticus,1564164,BMG 862,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,,74.7,,LN626275,59,10,31.5,28,35,45,35
2452,Rhodobacter sediminis,1783356,N1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,70.6,,LT009496,55.4,12,31,27,35,45,33
2453,Sphingobacterium terrae,2070451,Brt-F,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,43.4,,MF405100,56.3,15,30,25,35,45,30
2454,Flavobacterium naphthae,2057005,Brt-M,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,37.2,,MF405102,49.3,15,30,25,35,45,30
2455,Kineococcus aureolus,2044857,YIM 121940,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,,75.2,,KX943589,59.4,10,30,25,35,45,35
2456,Kineococcus terrestris,2044856,YIM 121936,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineococcus,,74.7,,KX943588,59.4,5,30,25,35,45,40
2457,Halomonas aestuarii,1897729,Hb3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_001886615.1,67.9,3.5,KX090359,56.1,5,30,25,35,45,40
2458,Actinokineospora acnipugnans,1813471,R434,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora,,71.6,,KU881048,59.7,20,30,25,35,45,25
2459,Geodermatophilus aquaeductus,1564161,BMG801 ,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,,,,LN626272,59.9,10,30,25,35,45,35
2460,Nocardiopsis algeriensis,1478215,B32,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,,KJ470139,59.1,20,30,25,35,45,25
2461,Idiomarina atlantica,1517416,G5_TVMV8_7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,50.2,,KJ825892,53.4,4,30,25,35,45,41
2462,Advenella faeciporci,797535,M-07,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,,49.5,,AB567741,54.2,10,30,25,35,45,35
2463,Nonomuraea jiangxiensis,633440,FXJ1.102,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea,,72.6,,FJ418910,59.8,20,30,25,35,45,25
2464,Deinococcus cellulosilyticus,401558,5516J-15,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,61.3,,DQ883809,54.8,5,30,25,35,45,40
2465,Clostridium polyendosporum,69208,PS-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,29,,Y18189,54.1,15,30,25,35,45,30
2466,Altererythrobacter fulvus,2126012,S-54,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,,64.2,,KY117470,54.5,15,27.5,20,35,45,30
2467,Pediococcus ethanolidurans,319653, Z-9,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,,39.5,,AY956789,51.5,15,33,32,34,45,30
2468,Streptomyces vitaminophilus,76728,SF2080,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,,,AB184589,59,15,29.5,25,34,45,30
2469,Motiliproteus sediminis,1468178,HS6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Motiliproteus,,61.2,,KF953945,55.2,12,31.5,30,33,45,33
2470,Clostridium magnum,33954,Wo Bd P1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,29.1,,X77835,52.1,15,31,30,32,45,30
2471,Bacillus zanthoxyli,2663026,1433,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,33.8,,KX865140,53.6,4,30,28,32,45,41
2472,Pinisolibacter ravus,2172023,E9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Ancalomicrobiaceae,Pinisolibacter,,68.4,,KY087994,57.1,15,30,28,32,45,30
2473,Thioclava marina,1915077,11.10-0-13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava,,64.1,,KX618928,55.3,10,30,28,32,45,35
2474,Rhodococcus biphenylivorans,1500843,TG9,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,GCA_003288095.1,68,5,KJ546454,58.9,10,30,28,32,45,35
2475,Agarivorans gilvus,680279,WH0801,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,GCA_001420915.1,46,4.4,GQ200591,53.1,10,30,28,32,45,35
2476,Olivibacter sitiensis,376470,AW-6,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,,45.6,,DQ421387,58.3,5,30,28,32,45,40
2477,Skermanella rosea,1817965,M1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,,69.5,,LT545982,58.8,12,29.5,27,32,45,33
